Token,SentimentScore
abridge,0
abridged,0
abridgement,0
abridgements,0
abridges,0
abridging,0
abridgment,0
abridgments,0
abroad,0
abrogate,-1
abrogated,-1
abrogates,-1
abrogating,-1
abrogation,-1
abrogations,-1
abrogator,0
abrogators,0
abrupt,-1
abrupter,0
abruptest,0
abruptly,-1
abruptness,-1
abruptnesses,0
abs,0
abscess,0
abscessed,0
abscesses,0
abscessing,0
abscissa,0
abscissae,0
abscissas,0
abscission,0
abscissions,0
abscond,0
absconded,0
absconder,0
absconders,0
absconding,0
absconds,0
abseil,0
abseiled,0
abseiling,0
abseils,0
absence,-1
absences,-1
absent,0
absented,0
absentee,0
absenteeism,-1
absenteeisms,0
absentees,0
absenting,0
absently,0
absentminded,0
absentmindedly,0
absentmindedness,0
absentmindednesses,0
absents,0
absinth,0
absinthe,0
absinthes,0
absinths,0
absolute,0
absolutely,0
absoluteness,0
absolutenesses,0
absolutes,0
absolutest,0
absolution,0
absolutions,0
absolutism,0
absolutisms,0
absolutist,0
absolutists,0
absolve,0
absolved,0
absolves,0
absolving,0
absorb,0
absorbable,0
absorbed,0
absorbencies,0
absorbency,0
absorbent,0
absorbents,0
absorber,0
absorbers,0
absorbing,0
absorbingly,0
absorbs,0
absorption,0
absorptions,0
absorptive,0
abstain,0
abstained,0
abstainer,0
abstainers,0
abstaining,0
abstains,0
abstemious,0
abstemiously,0
abstemiousness,0
abstemiousnesses,0
abstention,0
abstentions,0
abstinence,0
abstinences,0
abstinent,0
abstract,0
abstracted,0
abstractedly,0
abstractedness,0
abstractednesses,0
abstracting,0
abstraction,0
abstractions,0
abstractly,0
abstractness,0
abstractnesses,0
abstracts,0
abstruse,0
abstrusely,0
abstruseness,0
abstrusenesses,0
absurd,0
absurder,0
absurdest,0
absurdities,0
absurdity,0
absurdly,0
absurdness,0
absurdnesses,0
abundance,1
abundances,0
abundant,1
abundantly,0
abuse,-1
abused,-1
abuser,0
abusers,0
abuses,-1
abusing,-1
abusive,-1
abusively,-1
abusiveness,-1
abusivenesses,0
abut,0
abutment,0
abutments,0
abuts,0
abutted,0
abutting,0
abuzz,0
abysmal,0
abysmally,0
abyss,0
abyssal,0
abysses,0
acacia,0
acacias,0
academe,0
academes,0
academia,0
academias,0
academic,0
academically,0
academician,0
academicians,0
academics,0
academies,0
academy,0
acanthi,0
acanthus,0
acanthuses,0
accede,0
acceded,0
accedes,0
acceding,0
accelerant,0
accelerate,0
accelerated,0
accelerates,0
accelerating,0
acceleration,0
accelerations,0
accelerator,0
accelerators,0
accelerometer,0
accent,0
accented,0
accenting,0
accents,0
accentual,0
accentuate,0
accentuated,0
accentuates,0
accentuating,0
accentuation,0
accentuations,0
accept,0
acceptabilities,0
acceptability,0
acceptable,0
acceptableness,0
acceptablenesses,0
acceptably,0
acceptance,0
acceptances,0
acceptation,0
acceptations,0
accepted,0
accepting,0
acceptor,0
accepts,0
access,0
accessed,0
accesses,0
accessibilities,0
accessibility,0
accessible,0
accessibly,0
accessing,0
accession,0
accessions,0
accessories,0
accessorize,0
accessory,0
accessways,0
accident,-1
accidental,-1
accidentally,-1
accidentals,0
accidents,-1
acclaim,0
acclaimed,1
acclaiming,0
acclaims,0
acclamation,0
acclamations,0
acclimate,0
acclimated,0
acclimates,0
acclimating,0
acclimation,0
acclimations,0
acclimatization,0
acclimatizations,0
acclimatize,0
acclimatized,0
acclimatizes,0
acclimatizing,0
acclivities,0
acclivity,0
accolade,0
accolades,0
accommodate,0
accommodated,0
accommodates,0
accommodating,0
accommodatingly,0
accommodation,0
accommodations,0
accommodative,0
accompanied,0
accompanies,0
accompaniment,0
accompaniments,0
accompanist,0
accompanists,0
accompany,0
accompanying,0
accomplice,0
accomplices,0
accomplish,1
accomplished,1
accomplishes,1
accomplishing,1
accomplishment,1
accomplishments,1
accord,0
accordance,0
accordances,0
accordant,0
accorded,0
according,0
accordingly,0
accordion,0
accordionist,0
accordionists,0
accordions,0
accords,0
accost,0
accosted,0
accosting,0
accosts,0
account,0
accountabilities,0
accountability,0
accountable,0
accountancies,0
accountancy,0
accountant,0
accountants,0
accounted,0
accountholder,0
accountholders,0
accounting,0
accountings,0
accounts,0
accouter,0
accoutered,0
accoutering,0
accouterments,0
accouters,0
accoutre,0
accoutred,0
accoutrements,0
accoutres,0
accoutring,0
accredit,0
accreditation,0
accreditations,0
accredited,0
accrediting,0
accreditor,0
accreditors,0
accredits,0
accretable,0
accrete,0
accreted,0
accretes,0
accreting,0
accretion,0
accretionary,0
accretions,0
accretive,0
accretively,0
accretiveness,0
accruable,0
accrual,0
accruals,0
accrue,0
accrued,0
accrues,0
accruing,0
acculturate,0
acculturated,0
acculturates,0
acculturating,0
acculturation,0
acculturations,0
accumulate,0
accumulated,0
accumulates,0
accumulating,0
accumulation,0
accumulations,0
accumulative,0
accumulator,0
accumulators,0
accuracies,0
accuracy,0
accurate,0
accurately,0
accurateness,0
accuratenesses,0
accursed,0
accursedness,0
accursednesses,0
accurst,0
accusation,-1
accusations,-1
accusative,0
accusatives,0
accusatory,0
accuse,-1
accused,-1
accuser,0
accusers,0
accuses,-1
accusing,-1
accusingly,0
accustom,0
accustomed,0
accustoming,0
accustoms,0
ace,0
aced,0
acerbate,0
acerbated,0
acerbates,0
acerbating,0
acerbic,0
acerbically,0
acerbities,0
acerbity,0
aces,0
acetaminophen,0
acetaminophens,0
acetate,0
acetates,0
acetic,0
acetone,0
acetones,0
acetonic,0
acetylene,0
acetylenes,0
ache,0
ached,0
achene,0
achenes,0
aches,0
achier,0
achiest,0
achievability,0
achievable,0
achieve,1
achieveable,0
achieved,1
achievement,1
achievements,1
achiever,0
achievers,0
achieves,1
achieving,1
aching,0
achoo,0
achoos,0
achromatic,0
achy,0
acid,0
acidic,0
acidified,0
acidifies,0
acidify,0
acidifying,0
acidities,0
acidity,0
acidly,0
acidoses,0
acidosis,0
acids,0
acidulous,0
acing,0
acknowledge,0
acknowledged,0
acknowledgement,0
acknowledgements,0
acknowledges,0
acknowledging,0
acknowledgment,0
acknowledgments,0
acme,0
acmes,0
acne,0
acnes,0
acolyte,0
acolytes,0
aconite,0
aconites,0
acorn,0
acorns,0
acoustic,0
acoustical,0
acoustically,0
acoustics,0
acquaint,0
acquaintance,0
acquaintances,0
acquaintanceship,0
acquaintanceships,0
acquainted,0
acquainting,0
acquaints,0
acquiesce,-1
acquiesced,-1
acquiescence,0
acquiescences,0
acquiescent,0
acquiescently,0
acquiesces,-1
acquiescing,-1
acquirable,0
acquire,0
acquired,0
acquiree,0
acquirees,0
acquirement,0
acquirements,0
acquirer,0
acquirers,0
acquires,0
acquiring,0
acquiror,0
acquirors,0
acquisition,0
acquisitional,0
acquisitions,0
acquisitive,0
acquisitively,0
acquisitiveness,0
acquisitivenesses,0
acquit,-1
acquits,-1
acquittal,-1
acquittals,-1
acquittance,0
acquittances,0
acquitted,-1
acquitting,-1
acre,0
acreage,0
acreages,0
acres,0
acrid,0
acrider,0
acridest,0
acridities,0
acridity,0
acridly,0
acridness,0
acridnesses,0
acrimonies,0
acrimonious,0
acrimoniously,0
acrimoniousness,0
acrimoniousnesses,0
acrimony,0
acrobat,0
acrobatic,0
acrobatically,0
acrobatics,0
acrobats,0
acronym,0
acronyms,0
acrophobia,0
acrophobias,0
acropolis,0
acropolises,0
across,0
acrostic,0
acrostics,0
acrylic,0
acrylics,0
act,0
acted,0
acting,0
actings,0
actinium,0
actiniums,0
action,0
actionable,0
actioned,0
actions,0
activate,0
activated,0
activates,0
activating,0
activation,0
activations,0
activator,0
activators,0
active,0
actively,0
activeness,0
activenesses,0
actives,0
activewear,0
activism,0
activisms,0
activist,0
activists,0
activities,0
activity,0
actor,0
actors,0
actress,0
actresses,0
acts,0
actual,0
actualities,0
actuality,0
actualization,0
actualizations,0
actualize,0
actualized,0
actualizes,0
actualizing,0
actually,0
actuals,0
actuarial,0
actuarially,0
actuaries,0
actuary,0
actuate,0
actuated,0
actuates,0
actuating,0
actuation,0
actuations,0
actuator,0
actuators,0
acuities,0
acuity,0
acumen,0
acumens,0
acupressure,0
acupressures,0
acupuncture,0
acupunctures,0
acupuncturist,0
acupuncturists,0
acute,0
acutely,0
acuteness,0
acutenesses,0
acuter,0
acutes,0
acutest,0
acyclical,0
acyclovir,0
acyclovirs,0
ad,0
adage,0
adages,0
adagio,0
adagios,0
adamant,0
adamantly,0
adamants,0
adapt,0
adaptabilities,0
adaptability,0
adaptable,0
adaptation,0
adaptations,0
adapted,0
adapter,0
adapters,0
adapting,0
adaption,0
adaptive,0
adaptor,0
adaptors,0
adapts,0
add,0
addable,0
addback,0
addbacks,0
added,0
addend,0
addenda,0
addends,0
addendum,0
addendums,0
adder,0
adders,0
addible,0
addict,0
addicted,0
addicting,0
addiction,0
addictions,0
addictive,0
addicts,0
adding,0
addition,0
additional,0
additionally,0
additions,0
additive,0
additives,0
addle,0
addled,0
addles,0
addling,0
address,0
addressable,0
addressed,0
addressee,0
addressees,0
addresses,0
addressing,0
addressor,0
adds,0
adduce,0
adduced,0
adduces,0
adducing,0
adenine,0
adenines,0
adenoid,0
adenoidal,0
adenoids,0
adept,0
adeptly,0
adeptness,0
adeptnesses,0
adepts,0
adequacies,0
adequacy,0
adequate,0
adequately,1
adequateness,0
adequatenesses,0
adhere,0
adhered,0
adherence,0
adherences,0
adherent,0
adherents,0
adheres,0
adhering,0
adhesion,0
adhesions,0
adhesive,0
adhesiveness,0
adhesivenesses,0
adhesives,0
adieu,0
adieus,0
adieux,0
adios,0
adipose,0
adjacencies,0
adjacency,0
adjacent,0
adjacently,0
adjectival,0
adjectivally,0
adjective,0
adjectives,0
adjoin,0
adjoined,0
adjoining,0
adjoins,0
adjourn,0
adjourned,0
adjourning,0
adjournment,0
adjournments,0
adjourns,0
adjudge,0
adjudged,0
adjudges,0
adjudging,0
adjudicate,0
adjudicated,0
adjudicates,0
adjudicating,0
adjudication,0
adjudications,0
adjudicative,0
adjudicator,0
adjudicators,0
adjudicatory,0
adjunct,0
adjunctive,0
adjuncts,0
adjuration,0
adjurations,0
adjure,0
adjured,0
adjures,0
adjuring,0
adjust,0
adjustability,0
adjustable,0
adjustables,0
adjusted,0
adjuster,0
adjusters,0
adjusting,0
adjustment,0
adjustments,0
adjustor,0
adjustors,0
adjusts,0
adjutant,0
adjutants,0
adjuvant,0
adman,0
admen,0
administer,0
administered,0
administering,0
administers,0
administrate,0
administrated,0
administrates,0
administrating,0
administration,0
administrations,0
administrative,0
administratively,0
administrator,0
administrators,0
admirable,0
admirably,0
admiral,0
admirals,0
admiralties,0
admiralty,0
admiration,0
admirations,0
admire,0
admired,0
admirer,0
admirers,0
admires,0
admiring,0
admiringly,0
admissibilities,0
admissibility,0
admissible,0
admissibly,0
admission,0
admissions,0
admit,0
admits,0
admittance,0
admittances,0
admitted,0
admittedly,0
admitting,0
admix,0
admixed,0
admixes,0
admixing,0
admixture,0
admixtures,0
admonish,0
admonished,0
admonishes,0
admonishing,0
admonishment,0
admonishments,0
admonition,0
admonitions,0
admonitory,0
ado,0
adobe,0
adobes,0
adolescence,0
adolescences,0
adolescent,0
adolescents,0
adopt,0
adoptable,0
adopted,0
adopter,0
adopters,0
adopting,0
adoption,0
adoptions,0
adoptive,0
adopts,0
adorable,0
adorableness,0
adorablenesses,0
adorably,0
adoration,0
adorations,0
adore,0
adored,0
adorer,0
adorers,0
adores,0
adoring,0
adoringly,0
adorn,0
adorned,0
adorning,0
adornment,0
adornments,0
adorns,0
ados,0
adrenal,0
adrenalin,0
adrenaline,0
adrenalines,0
adrenalins,0
adrenals,0
adrift,0
adroit,0
adroitly,0
adroitness,0
adroitnesses,0
ads,0
adsorb,0
adsorbed,0
adsorbent,0
adsorbents,0
adsorbing,0
adsorbs,0
adsorption,0
adsorptions,0
adulate,0
adulated,0
adulates,0
adulating,0
adulation,0
adulations,0
adulator,0
adulators,0
adulatory,0
adult,0
adulterant,0
adulterants,0
adulterate,-1
adulterated,-1
adulterates,0
adulterating,-1
adulteration,-1
adulterations,-1
adulterer,0
adulterers,0
adulteress,0
adulteresses,0
adulteries,0
adulterous,0
adultery,0
adulthood,0
adulthoods,0
adults,0
adumbrate,0
adumbrated,0
adumbrates,0
adumbrating,0
adumbration,0
adumbrations,0
advance,0
advanced,0
advancement,1
advancements,1
advances,1
advancing,1
advantage,1
advantaged,1
advantageous,1
advantageously,1
advantages,1
advantaging,0
advent,0
adventitious,0
adventitiously,0
advents,0
adventure,0
adventured,0
adventurer,0
adventurers,0
adventures,0
adventuresome,0
adventuress,0
adventuresses,0
adventuring,0
adventurous,0
adventurously,0
adventurousness,0
adventurousnesses,0
adverb,0
adverbial,0
adverbially,0
adverbials,0
adverbs,0
adversarial,-1
adversaries,-1
adversary,-1
adverse,-1
adversely,-1
adverseness,0
adversenesses,0
adverser,0
adversest,0
adversities,-1
adversity,-1
advert,0
adverted,0
adverting,0
advertise,0
advertised,0
advertisement,0
advertisements,0
advertiser,0
advertisers,0
advertises,0
advertising,0
advertisings,0
advertize,0
advertized,0
advertizement,0
advertizements,0
advertizes,0
advertizing,0
advertorial,0
advertorials,0
adverts,0
advice,0
advices,0
advisabilities,0
advisability,0
advisable,0
advisably,0
advise,0
advised,0
advisedly,0
advisement,0
advisements,0
adviser,0
advisers,0
advises,0
advising,0
advisor,0
advisories,0
advisors,0
advisory,0
advocacies,0
advocacy,0
advocate,0
advocated,0
advocates,0
advocating,0
adware,0
adwords,0
adz,0
adze,0
adzes,0
aegis,0
aegises,0
aeon,0
aeons,0
aerate,0
aerated,0
aerates,0
aerating,0
aeration,0
aerations,0
aerator,0
aerators,0
aerial,0
aerialist,0
aerialists,0
aerially,0
aerials,0
aerie,0
aerier,0
aeries,0
aeriest,0
aerobatic,0
aerobatics,0
aerobic,0
aerobically,0
aerobics,0
aerodrome,0
aerodromes,0
aerodynamic,0
aerodynamically,0
aerodynamics,0
aeronautic,0
aeronautical,0
aeronautics,0
aeroplane,0
aeroplanes,0
aerosol,0
aerosolized,0
aerosols,0
aerospace,0
aerospaces,0
aerostructures,0
aery,0
aesthete,0
aesthetes,0
aesthetic,0
aesthetically,0
aestheticism,0
aestheticisms,0
aesthetics,0
afar,0
affabilities,0
affability,0
affable,0
affably,0
affair,0
affairs,0
affect,0
affectation,0
affectations,0
affected,0
affectedly,0
affecting,0
affectingly,0
affection,0
affectionate,0
affectionately,0
affections,0
affective,0
affectively,0
affects,0
afferent,0
affiance,0
affianced,0
affiances,0
affiancing,0
affidavit,0
affidavits,0
affiliate,0
affiliated,0
affiliates,0
affiliating,0
affiliation,0
affiliations,0
affinities,0
affinity,0
affirm,0
affirmance,0
affirmation,0
affirmations,0
affirmative,0
affirmatively,0
affirmatives,0
affirmed,0
affirming,0
affirms,0
affix,0
affixation,0
affixed,0
affixes,0
affixing,0
afflatus,0
afflatuses,0
afflict,0
afflicted,0
afflicting,0
affliction,0
afflictions,0
afflicts,0
affluence,0
affluences,0
affluent,0
affluently,0
afford,0
affordability,0
affordable,0
affordably,0
afforded,0
affording,0
affords,0
afforest,0
afforestation,0
afforestations,0
afforested,0
afforesting,0
afforests,0
affray,0
affrays,0
affreightment,0
affront,0
affronted,0
affronting,0
affronts,0
afghan,0
afghans,0
aficionado,0
aficionados,0
afield,0
afire,0
aflame,0
afloat,0
aflutter,0
afoot,0
aforedescribed,0
aforementioned,0
aforesaid,0
aforestated,0
aforethought,0
afoul,0
afraid,0
afresh,0
aft,0
after,0
afterbirth,0
afterbirths,0
afterburner,0
afterburners,0
aftercare,0
aftercares,0
aftereffect,0
aftereffects,0
afterglow,0
afterglows,0
afterimage,0
afterimages,0
afterlife,0
afterlives,0
aftermarket,0
aftermarkets,0
aftermath,-1
aftermaths,-1
afternoon,0
afternoons,0
aftershave,0
aftershaves,0
aftershock,0
aftershocks,0
aftertaste,0
aftertastes,0
aftertax,0
afterthought,0
afterthoughts,0
aftertreatment,0
afterward,0
afterwards,0
afterword,0
afterwords,0
again,0
against,-1
agapae,0
agapai,0
agape,0
agapes,0
agar,0
agars,0
agate,0
agates,0
agave,0
agaves,0
age,0
aged,0
ageing,0
ageism,0
ageisms,0
ageist,0
ageists,0
ageless,0
agelessly,0
agelessness,0
agelessnesses,0
agencies,0
agency,0
agenda,0
agendas,0
agent,0
agents,0
ageratum,0
ageratums,0
ages,0
agglomerate,0
agglomerated,0
agglomerates,0
agglomerating,0
agglomeration,0
agglomerations,0
agglutinate,0
agglutinated,0
agglutinates,0
agglutinating,0
agglutination,0
agglutinations,0
aggrandize,0
aggrandized,0
aggrandizement,0
aggrandizements,0
aggrandizes,0
aggrandizing,0
aggravate,-1
aggravated,-1
aggravates,-1
aggravating,-1
aggravatingly,0
aggravation,-1
aggravations,-1
aggregate,0
aggregated,0
aggregates,0
aggregating,0
aggregation,0
aggregations,0
aggregator,0
aggregators,0
aggression,0
aggressions,0
aggressive,0
aggressively,0
aggressiveness,0
aggressivenesses,0
aggressor,0
aggressors,0
aggrieve,0
aggrieved,0
aggrieves,0
aggrieving,0
aghast,0
agile,0
agilely,0
agiler,0
agilest,0
agilities,0
agility,0
aging,0
agings,0
agitate,0
agitated,0
agitates,0
agitating,0
agitation,0
agitations,0
agitator,0
agitators,0
agitprop,0
agitprops,0
agleam,0
aglitter,0
aglow,0
agnostic,0
agnosticism,0
agnosticisms,0
agnostics,0
ago,0
agog,0
agonies,0
agonist,0
agonists,0
agonize,0
agonized,0
agonizes,0
agonizing,0
agonizingly,0
agony,0
agoraphobia,0
agoraphobias,0
agoraphobic,0
agoraphobics,0
agrarian,0
agrarianism,0
agrarianisms,0
agrarians,0
agree,0
agreeable,0
agreeableness,0
agreeablenesses,0
agreeably,0
agreed,0
agreeing,0
agreement,0
agreements,0
agrees,0
agribusiness,0
agribusinesses,0
agrichemical,0
agricultural,0
agriculturalist,0
agriculturalists,0
agriculturally,0
agriculturals,0
agriculture,0
agricultures,0
agriculturist,0
agriculturists,0
agrochemical,0
agrochemicals,0
agronomic,0
agronomics,0
agronomies,0
agronomist,0
agronomists,0
agronomy,0
aground,0
ague,0
agues,0
ah,0
aha,0
ahead,0
ahem,0
ahoy,0
aid,0
aide,0
aided,0
aides,0
aiding,0
aids,0
aigrette,0
aigrettes,0
ail,0
ailed,0
aileron,0
ailerons,0
ailing,0
ailment,0
ailments,0
ails,0
aim,0
aimed,0
aiming,0
aimless,0
aimlessly,0
aimlessness,0
aimlessnesses,0
aims,0
air,0
airbag,0
airbags,0
airbase,0
airbases,0
airborne,0
airbrush,0
airbrushed,0
airbrushes,0
airbrushing,0
airbus,0
airbuses,0
airbusses,0
aircraft,0
aircrafts,0
airdrop,0
airdropped,0
airdropping,0
airdrops,0
aired,0
airfare,0
airfares,0
airfield,0
airfields,0
airflow,0
airflows,0
airfoil,0
airfoils,0
airframe,0
airframes,0
airfreight,0
airfreights,0
airhead,0
airheads,0
airier,0
airiest,0
airily,0
airiness,0
airinesses,0
airing,0
airings,0
airless,0
airlessness,0
airlessnesses,0
airlift,0
airlifted,0
airlifting,0
airlifts,0
airline,0
airliner,0
airliners,0
airlines,0
airlock,0
airlocks,0
airmail,0
airmailed,0
airmailing,0
airmails,0
airman,0
airmen,0
airplane,0
airplanes,0
airplay,0
airplays,0
airport,0
airports,0
airs,0
airship,0
airships,0
airsick,0
airsickness,0
airsicknesses,0
airspace,0
airspaces,0
airstrike,0
airstrikes,0
airstrip,0
airstrips,0
airtight,0
airtime,0
airtimes,0
airwaves,0
airway,0
airways,0
airworthier,0
airworthiest,0
airworthiness,0
airworthinesses,0
airworthy,0
airy,0
aisle,0
aisles,0
aitch,0
aitches,0
ajar,0
akimbo,0
akin,0
alabaster,0
alabasters,0
alack,0
alacrities,0
alacrity,0
alarm,0
alarmed,0
alarming,0
alarmingly,0
alarmist,0
alarmists,0
alarms,0
alas,0
alb,0
albacore,0
albacores,0
albatross,0
albatrosses,0
albeit,0
albinism,0
albinisms,0
albino,0
albinos,0
albs,0
album,0
albumen,0
albumens,0
albumin,0
albuminous,0
albumins,0
albums,0
alchemies,0
alchemist,0
alchemists,0
alchemy,0
alcohol,0
alcoholic,0
alcoholically,0
alcoholics,0
alcoholism,0
alcoholisms,0
alcohols,0
alcove,0
alcoves,0
alder,0
alderman,0
aldermen,0
alders,0
alderwoman,0
alderwomen,0
ale,0
aleatory,0
alehouse,0
alehouses,0
alembic,0
alembics,0
alert,0
alerted,-1
alerting,-1
alertly,0
alertness,0
alertnesses,0
alerts,0
ales,0
alewife,0
alewives,0
alfalfa,0
alfalfas,0
alfresco,0
alga,0
algae,0
algal,0
algebra,0
algebraic,0
algebraically,0
algebras,0
algorithm,0
algorithmic,0
algorithmically,0
algorithms,0
alias,0
aliased,0
aliases,0
aliasing,0
alibi,0
alibied,0
alibiing,0
alibis,0
alien,0
alienable,0
alienate,-1
alienated,-1
alienates,-1
alienating,-1
alienation,-1
alienations,-1
aliened,0
alienist,0
alienists,0
aliens,0
alight,0
alighted,0
alighting,0
alights,0
align,0
aligned,0
aligner,0
aligners,0
aligning,0
alignment,0
alignments,0
aligns,0
alike,0
aliment,0
alimentary,0
alimented,0
alimenting,0
aliments,0
alimonies,0
alimony,0
aline,0
alined,0
alinement,0
alinements,0
alines,0
alining,0
alit,0
alive,0
aliveness,0
alivenesses,0
aliyah,0
aliyahs,0
alkali,0
alkalies,0
alkaline,0
alkalinities,0
alkalinity,0
alkalis,0
alkalize,0
alkalized,0
alkalizes,0
alkalizing,0
alkaloid,0
alkaloids,0
alkyd,0
alkyds,0
all,0
allay,0
allayed,0
allaying,0
allays,0
allegation,-1
allegations,-1
allege,-1
alleged,-1
allegedly,-1
alleges,-1
allegiance,0
allegiances,0
alleging,-1
allegoric,0
allegorical,0
allegorically,0
allegories,0
allegorist,0
allegorists,0
allegory,0
allegretto,0
allegrettos,0
allegro,0
allegros,0
allele,0
alleles,0
alleluia,0
alleluias,0
allergen,0
allergenic,0
allergens,0
allergic,0
allergically,0
allergies,0
allergist,0
allergists,0
allergy,0
alleviate,0
alleviated,0
alleviates,0
alleviating,0
alleviation,0
alleviations,0
alley,0
alleys,0
alleyway,0
alleyways,0
alliance,1
alliances,1
allied,0
allies,0
alligator,0
alligators,0
alliterate,0
alliterated,0
alliterates,0
alliterating,0
alliteration,0
alliterations,0
alliterative,0
alliteratively,0
allocable,0
allocate,0
allocated,0
allocates,0
allocating,0
allocation,0
allocations,0
allocators,0
allogeneic,0
allograft,0
allografts,0
allot,0
allotment,0
allotments,0
allots,0
allotted,0
allotting,0
allover,0
allow,0
allowability,0
allowable,0
allowables,0
allowably,0
allowance,0
allowances,0
allowed,0
allowing,0
allows,0
alloy,0
alloyed,0
alloying,0
alloys,0
alls,0
allspice,0
allspices,0
allude,0
alluded,0
alludes,0
alluding,0
allure,0
allured,0
allurement,0
allurements,0
allures,0
alluring,0
alluringly,0
allusion,0
allusions,0
allusive,0
allusively,0
allusiveness,0
allusivenesses,0
alluvia,0
alluvial,0
alluvials,0
alluvium,0
alluviums,0
ally,0
allying,0
almanac,0
almanacs,0
almighty,0
almond,0
almonds,0
almoner,0
almoners,0
almost,0
alms,0
almshouse,0
almshouses,0
aloe,0
aloes,0
aloft,0
aloha,0
alohas,0
alone,0
along,0
alongshore,0
alongside,0
aloof,0
aloofly,0
aloofness,0
aloofnesses,0
aloud,0
alp,0
alpaca,0
alpacas,0
alpha,0
alphabet,0
alphabetic,0
alphabetical,0
alphabetically,0
alphabetization,0
alphabetizations,0
alphabetize,0
alphabetized,0
alphabetizer,0
alphabetizers,0
alphabetizes,0
alphabetizing,0
alphabets,0
alphanumeric,0
alphanumerical,0
alphanumerically,0
alphas,0
alpine,0
alps,0
already,0
alright,0
also,0
altar,0
altarpiece,0
altarpieces,0
altars,0
alter,0
alterable,0
alteration,0
alterations,0
altercation,0
altercations,0
altered,0
altering,0
alternate,0
alternated,0
alternately,0
alternates,0
alternating,0
alternation,0
alternations,0
alternative,0
alternatively,0
alternatives,0
alternator,0
alternators,0
alters,0
altho,0
although,0
altimeter,0
altimeters,0
altitude,0
altitudes,0
alto,0
altogether,0
altos,0
altruism,0
altruisms,0
altruist,0
altruistic,0
altruistically,0
altruists,0
alum,0
alumina,0
aluminas,0
aluminium,0
aluminiums,0
aluminized,0
aluminum,0
aluminums,0
alumna,0
alumnae,0
alumni,0
alumnus,0
alums,0
always,0
am,0
amalgam,0
amalgamate,0
amalgamated,0
amalgamates,0
amalgamating,0
amalgamation,0
amalgamations,0
amalgams,0
amanuenses,0
amanuensis,0
amaranth,0
amaranths,0
amaretto,0
amarettos,0
amaryllis,0
amaryllises,0
amass,0
amassed,0
amasses,0
amassing,0
amateur,0
amateurish,0
amateurishly,0
amateurishness,0
amateurishnesses,0
amateurism,0
amateurisms,0
amateurs,0
amatory,0
amaze,0
amazed,0
amazement,0
amazements,0
amazes,0
amazing,0
amazingly,0
amazon,0
amazonian,0
amazons,0
ambassador,0
ambassadorial,0
ambassadors,0
ambassadorship,0
ambassadorships,0
ambassadress,0
ambassadresses,0
amber,0
ambergris,0
ambergrises,0
ambers,0
ambiance,0
